player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
669257, Will Smith,2021.5,539.5,370,0.259,0.2535,0.0055,0.48,0.4725,0.0075,0.358,-0.0015,0.3565,0.36,0.910443886,0.093568302
669261, Jack Suwinski,2022,372,213,0.202,0.204,-0.002,0.411,0.393,0.018,0.307,0.004,0.311,0.335,-0.559565983,0.875515439
669289, Santiago Espinal,2021.5,368.5,289,0.289,0.265,0.024,0.3875,0.347,0.0405,0.3025,0.022,0.3245,0.265,-0.123409209,-1.487216984
669357, Nolan Gorman,2022,313,180,0.226,0.239,-0.013,0.42,0.476,-0.056,0.341,-0.025,0.316,0.348,-0.398026437,1.071768514
669397, Nick Allen,2022,326,242,0.207,0.21,-0.003,0.291,0.266,0.025,0.238,0.007,0.245,0.226,-2.691887991,0.007883936
669720, Austin Hays,2021.5,555.5,404.5,0.253,0.2425,0.0105,0.437,0.402,0.035,0.307,0.014,0.321,0.332,-0.236486891,0.469868819
670032, Nicky Lopez,2020.666667,482.3333333,384.6666667,0.255666667,0.235,0.020666667,0.325333333,0.299666667,0.025666667,0.266,0.014,0.28,0.301,-1.561111169,0.941295309
670541, Yordan Alvarez,2020.666667,509.3333333,329,0.298666667,0.298666667,0.000001,0.599666667,0.613,-0.013333333,0.420333333,-0.011,0.409333333,0.395,2.617378422,-0.65007841
670623, Isaac Paredes,2022,381,266,0.205,0.21,-0.005,0.435,0.348,0.087,0.297,0.026,0.323,0.37,-0.171871073,1.451108353
670764, Taylor Walls,2022,466,291,0.172,0.196,-0.024,0.285,0.304,-0.019,0.27,-0.018,0.252,0.301,-2.465732626,1.845916767
670770, TJ Friedl,2022,258,191,0.24,0.215,0.025,0.436,0.335,0.101,0.283,0.04,0.323,0.336,-0.171871073,0.515343038
671277, Luis Garcia,2021.5,312,237,0.2585,0.2505,0.008,0.4095,0.3875,0.022,0.292,0.005,0.297,0.283,-1.011876712,-0.103344314
671739, Michael Harris II,2022,441,308,0.297,0.268,0.029,0.514,0.46,0.054,0.335,0.033,0.368,0.333,1.281984842,-1.021080404
672284, Jarred Kelenic,2021,377,232,0.181,0.223,-0.042,0.35,0.413,-0.063,0.314,-0.044,0.27,0.324,-1.884190261,1.897392115
672386, Alejandro Kirk,2022,541,416,0.285,0.278,0.007,0.415,0.431,-0.016,0.351,-0.004,0.347,0.298,0.603518748,-1.305902136
672695, Geraldo Perdomo,2022,500,342,0.195,0.213,-0.018,0.262,0.282,-0.02,0.269,-0.016,0.253,0.341,-2.433424717,2.914509229
673357, Luis Robert Jr.,2021.5,348.5,260,0.311,0.287,0.024,0.4965,0.4975,-0.001,0.3545,0.007,0.3615,0.367,1.071983432,0.124686321
673490, Ha-Seong Kim,2021.5,440,312.5,0.2265,0.2295,-0.003,0.3675,0.3385,0.029,0.287,0.0045,0.2915,0.356,-1.189570213,2.083492363
673548, Seiya Suzuki,2022,446,290,0.262,0.247,0.015,0.433,0.418,0.015,0.326,0.008,0.334,0.329,0.183515929,-0.032701528
676801, Chas McCormick,2021.5,363.5,220.5,0.251,0.228,0.023,0.427,0.419,0.008,0.318,0.0085,0.3265,0.386,-0.05879339,1.778390819
677551, Wander Franco,2021.5,326,265,0.2825,0.2805,0.002,0.44,0.4075,0.0325,0.33,0.0055,0.3355,0.349,0.231977793,0.469286793
